Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC,KiLib_Generator,Sim.Pins,JCLPCBNum,JLCPCB Part #
"BOOT1, RESET1, USER1",3,SW_Push,SW_SPST_B3U-1000P-B,,,,smt,"Push button switch, generic, two pins",C231330,,,,
"C1, C7",2,10uF,C_0805_2012Metric,,,,smt,Unpolarized capacitor,C15850,SMD_2terminal_chip_molded,,,
C2,1,4.7uF,C_0805_2012Metric,,,,smt,Unpolarized capacitor,C597439,SMD_2terminal_chip_molded,,,
"C3, C4, C5, C6",4,100nF,C_0805_2012Metric,,,,smt,Unpolarized capacitor,C380332,SMD_2terminal_chip_molded,,,
D1,1,PESD5V0L1ULD,D_SOD-882D,,,,smt,"Low capacitance unidirectional ESD protection diode, 5V, SOD-882D",C552557,,,,
D2,1,LED GREEN,LED_0805_2012Metric,,,,smt,Light emitting diode,C2297,SMD_2terminal_chip_molded,1=K 2=A,,
D3,1,LED YELLOW,LED_0805_2012Metric,,,,smt,Light emitting diode,C2296,SMD_2terminal_chip_molded,1=K 2=A,,
J1,1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,,GT-USB-7010ASV,,smt,USB 2.0-only 16P Type-C Receptacle connector,C2988369,,,,
"J2, J3",2,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",,connector/pin_header_socket,,,
"R1, R2",2,5.1K,R_0402_1005Metric,,,,smt,Resistor,C2907044,SMD_2terminal_chip_molded,,,
"R10, R9",2,330R,R_0402_1005Metric,,,,smt,Resistor,C105875,SMD_2terminal_chip_molded,,,
R3,1,4.7K,R_0402_1005Metric,,RC0402FR-074K7L,,smt,Resistor,C105871,SMD_2terminal_chip_molded,,C105871,C105871
"R4, R5, R6, R7, R8",5,10K,R_0402_1005Metric,,,,smt,Resistor,C60490,SMD_2terminal_chip_molded,,,
U1,1,USBLC6-2SC6,SOT-23-6,,,,smt,"Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",C7519,package/gullwing,,,
U2,1,XC6220B331MR,SOT-23-5,,C22466451,,smt,"1A, Low Drop-out Voltage Regulator, Fixed Output 3.3V, SOT-23-5",C22466451,package/gullwing,,,
U3,1,ESP32-C3-MINI-1,ESP32-C3-MINI-1,,ESP32-C3-MINI-1-N4,,smt,ESP32-C3-MINI-1 family is an ultra-low-power MCU-based SoC solution that supports 2.4 GHz Wi-Fi and Bluetooth®Low Energy (Bluetooth LE).,C2838502,,,,
