pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
231.5,-124.0,0.0,top,BOOT1,,,SW_SPST_B3U-1000P-B,SW_Push,smt
211.812601,-114.064691,-90.0,top,C1,,,C_0805_2012Metric,10uF,smt
214.975101,-111.01469,180.0,top,C2,,,C_0805_2012Metric,4.7uF,smt
206.5,-126.8,180.0,top,C3,,,C_0805_2012Metric,100nF,smt
231.4,-126.8,180.0,top,C4,,,C_0805_2012Metric,100nF,smt
212.1,-105.9,180.0,top,C5,,,C_0805_2012Metric,100nF,smt
211.6,-88.0,90.0,top,C6,,,C_0805_2012Metric,100nF,smt
208.7,-88.0,90.0,top,C7,,,C_0805_2012Metric,10uF,smt
216.112601,-118.764691,180.0,top,D1,,,D_SOD-882D,PESD5V0L1ULD,smt
219.3,-103.1,-90.0,top,D2,,,LED_0805_2012Metric,LED GREEN,smt
221.7,-103.1,-90.0,top,D3,,,LED_0805_2012Metric,LED YELLOW,smt
218.9,-124.335,0.0,top,J1,GT-USB-7010ASV,,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,USB_C_Receptacle_USB2.0_16P,smt
203.0,-92.0,180.0,bottom,J2,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08,tht
233.48,-92.0,180.0,bottom,J3,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08,tht
222.012601,-118.464691,90.0,top,R1,,,R_0402_1005Metric,5.1K,smt
221.7,-105.8,90.0,top,R10,,,R_0402_1005Metric,330R,smt
217.612601,-118.464691,90.0,top,R2,,,R_0402_1005Metric,5.1K,smt
214.475101,-116.11469,0.0,top,R3,RC0402FR-074K7L,,R_0402_1005Metric,4.7K,smt
207.8,-121.8,0.0,top,R4,,,R_0402_1005Metric,10K,smt
232.9,-121.8,0.0,top,R5,,,R_0402_1005Metric,10K,smt
211.6,-90.7,0.0,top,R6,,,R_0402_1005Metric,10K,smt
222.7,-98.409999,90.0,top,R7,,,R_0402_1005Metric,10K,smt
213.4,-100.9,0.0,top,R8,,,R_0402_1005Metric,10K,smt
219.3,-105.8,90.0,top,R9,,,R_0402_1005Metric,330R,smt
206.4,-124.0,0.0,top,RESET1,,,SW_SPST_B3U-1000P-B,SW_Push,smt
219.812601,-114.664691,90.0,top,U1,,,SOT-23-6,USBLC6-2SC6,smt
215.012601,-113.864691,0.0,top,U2,C22466451,,SOT-23-5,XC6220B331MR,smt
219.5,-88.8,0.0,top,U3,ESP32-C3-MINI-1-N4,,ESP32-C3-MINI-1,ESP32-C3-MINI-1,smt
212.0,-103.1,0.0,top,USER1,,,SW_SPST_B3U-1000P-B,SW_Push,smt
