Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1, USER1",SW_SPST_B3U-1000P-B,3,SW_Push,C231330
"C1, C7",0805,2,10uF,C15850
C2,0805,1,4.7uF,C597439
"C3, C4, C5, C6",0805,4,100nF,C380332
D1,D_SOD-882D,1,PESD5V0L1ULD,C552557
D2,0805,1,LED GREEN,C2297
D3,0805,1,LED YELLOW,C2296
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
"J2, J3",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,
"R1, R2",0402,2,5.1K,C2907044
"R10, R9",0402,2,330R,C105875
R3,0402,1,4.7K,C105871
"R4, R5, R6, R7, R8",0402,5,10K,C60490
U1,SOT-23-6,1,USBLC6-2SC6,C7519
U2,SOT-23-5,1,XC6220B331MR,C22466451
U3,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,C2838502
