Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,231.5,-124.0,90.0,top
C1,211.812601,-114.064691,270.0,top
C2,214.975101,-111.01469,180.0,top
C3,206.5,-126.8,180.0,top
C4,231.4,-126.8,180.0,top
C5,212.1,-105.9,180.0,top
C6,211.6,-88.0,90.0,top
C7,208.7,-88.0,90.0,top
D1,216.112601,-118.764691,180.0,top
D2,219.3,-103.1,270.0,top
D3,221.7,-103.1,270.0,top
J1,218.9,-124.335,0.0,top
J2,203.0,-100.89,0.0,bottom
J3,233.48,-100.89,0.0,bottom
R1,222.012601,-118.464691,90.0,top
R10,221.7,-105.8,90.0,top
R2,217.612601,-118.464691,90.0,top
R3,214.475101,-116.11469,0.0,top
R4,207.8,-121.8,0.0,top
R5,232.9,-121.8,0.0,top
R6,211.6,-90.7,0.0,top
R7,222.7,-98.409999,90.0,top
R8,213.4,-100.9,0.0,top
R9,219.3,-105.8,90.0,top
RESET1,206.4,-124.0,90.0,top
U1,219.812601,-114.664691,270.0,top
U2,215.012601,-113.864691,180.0,top
U3,219.5,-88.8,0.0,top
USER1,212.0,-103.1,90.0,top
